Program,Effort
001,24.0
002,186.8093074064141
003,2.3774437510817346
004,2.3774437510817346
005,2.3774437510817346
006,18.575424759098897
007,2.3774437510817346
008,2.3774437510817346
009,2.3774437510817346
010,0
011,15.509775004326936
012,53.901214503506004
013,72.66317991986145
014,293.0167946706389
015,48.0
016,0
017,0
018,193.58797503894246
019,0
020,2.3774437510817346
021,2.3774437510817346
022,0
023,0
024,0
025,6.965784284662087
